bh_bar,break_even_win_rate,control_mean,control_trades,edge,entry_distance,exit_stop,exit_target,exit_time,few_trades,max_hold_minutes,no_new_entry_after,no_reward,p,params_hash,reward,rule_mean,survives_fdr,t,trades,underpowered,volume_ratio_min,win_rate
0.07291666666666667,0.8333333333333334,-0.00011163340409357774,2338,9.53071966958056e-06,-0.002,347,1278,109,False,120,15:40,False,0.903718878569292,bf25763c3a0211b9,0.001,-0.000102102684423997,False,0.12096484718298164,1910,False,1.0,0.6769633507853403
0.09375,0.8333333333333334,-0.00011130363408876675,2300,2.7472297452151137e-06,-0.002,352,1287,10,False,240,15:40,False,0.9728154036214556,47e3e2f63a145258,0.001,-0.00010855640434355176,False,0.03407743333486723,1830,False,1.0,0.6825136612021858
0.09062500000000001,0.7142857142857143,-1.690528364728571e-05,4022,1.1371724738433055e-06,-0.003,13,106,3629,False,5,15:40,False,0.9652401097205474,bc261274f50bbfc5,0.002,-1.5768111173442365e-05,False,0.04357885152153762,3748,False,1.0,0.49039487726787623
0.06458333333333334,0.7142857142857143,-2.642429973628354e-05,3122,-1.1901420051016705e-05,-0.003,82,310,2340,False,15,15:40,False,0.7935723370016611,921db89f71bf2116,0.002,-3.832571978730031e-05,False,-0.2616745839495773,2809,False,1.0,0.510501957992168
0.078125,0.7142857142857143,-7.73396301807503e-05,2230,5.868685729333795e-06,-0.003,139,456,1191,False,30,15:40,False,0.9311786480467602,5277b1d3b2283966,0.002,-7.147094445141671e-05,False,0.0863620070341462,1913,False,1.0,0.5190799790904339
0.09583333333333334,0.7142857142857143,-9.030971296571261e-05,1726,2.3148917633144563e-06,-0.003,221,593,455,False,60,15:40,False,0.9803796971627168,1aafb7621787c609,0.002,-8.799482120239814e-05,False,0.024592881702264497,1415,False,1.0,0.5540636042402827
0.053125000000000006,0.7142857142857143,-6.417487784858464e-05,1481,-4.528380599552666e-05,-0.003,267,650,107,False,120,15:40,False,0.6855200233287146,b6ce6cdcc2505729,0.002,-0.0001094586838441116,False,-0.40494216538056726,1181,False,1.0,0.6088060965283658
0.09270833333333334,0.7142857142857143,-9.35577226140931e-05,1415,-4.271882408182629e-06,-0.003,275,670,9,False,240,15:40,False,0.9709609530406239,8a561eb118b72aa2,0.002,-9.782960502227574e-05,False,-0.03640308662607521,1116,False,1.0,0.6290322580645161
0.016666666666666666,0.5555555555555555,1.2138378201825309e-05,1837,-5.572622157903057e-05,-0.005,10,15,1680,False,5,15:40,False,0.18879485029843446,40108aec646a7240,0.004,-4.358784337720527e-05,False,-1.3141526169378817,1705,False,1.0,0.4727272727272727
0.015625,0.5555555555555555,-4.787715781539382e-05,1426,-0.00010082436877006564,-0.005,49,52,1120,False,15,15:40,False,0.167390112126638,ea1bdbfbd347bafc,0.004,-0.0001487015265854595,False,-1.3806385888764583,1280,False,1.0,0.46328125
0.019791666666666666,0.5555555555555555,-8.942089458334147e-05,1008,-0.00013610994933061356,-0.005,86,88,618,False,30,15:40,False,0.2236471863173814,dc0f9cae9f54e4a1,0.004,-0.00022553084391395512,False,-1.2168870686622992,872,False,1.0,0.45756880733944955
0.008333333333333333,0.5555555555555555,-2.7864330122612263e-05,745,-0.0002737532270443149,-0.005,137,140,260,False,60,15:40,False,0.10004550239752201,ef6c39d8109b8911,0.004,-0.0003016175571669272,False,-1.6446330720369355,637,False,1.0,0.4662480376766091
0.0010416666666666667,0.5555555555555555,0.00012237582916544145,641,-0.0004940875146768043,-0.005,169,185,61,False,120,15:40,False,0.012712163638158391,4389ab96fbb211d9,0.004,-0.00037171168551136294,False,-2.491732781331983,527,False,1.0,0.4952561669829222
0.0020833333333333333,0.5555555555555555,0.00011748213238454549,598,-0.00048587060021564456,-0.005,175,200,4,False,240,15:40,False,0.021304974309540807,1376b4a4371c77e4,0.004,-0.0003683884678310994,False,-2.3025358109386107,500,False,1.0,0.506
