bh_bar,break_even_win_rate,control_mean,control_trades,edge,entry_distance,exit_stop,exit_target,exit_time,few_trades,max_hold_minutes,no_new_entry_after,no_reward,p,params_hash,reward,rule_mean,survives_fdr,t,trades,underpowered,volume_ratio_min,win_rate
nan,1.0,-8.45757986731083e-06,8204,3.8213420769936085e-06,-0.001,15,2560,5685,False,5,15:40,True,0.8075628696396411,094c246a72f75be7,0.0,-4.636237790317208e-06,False,0.24357128524085478,8260,True,1.0,0.5828087167070218
nan,1.0,-3.72500386896326e-05,6610,6.364368560675152e-06,-0.001,112,3215,3202,False,15,15:40,True,0.799732778499997,30e375a1f6fb2903,0.0,-3.0885670128957344e-05,False,0.2536929532420162,6652,True,1.0,0.6473241130487072
nan,1.0,-2.9103421932372876e-05,5172,-1.0728322426389457e-06,-0.001,207,3381,1469,False,30,15:40,True,0.9742410393810829,10f1e2f28614170d,0.0,-3.017625417501177e-05,False,-0.03228967962480884,5226,True,1.0,0.7139303482587065
nan,1.0,-3.993096758172921e-05,4423,-5.564427411532256e-06,-0.001,307,3447,511,False,60,15:40,True,0.8863739441069145,1b68b848156839c5,0.0,-4.549539499326145e-05,False,-0.1428939406730585,4452,True,1.0,0.7679694519317161
nan,1.0,-2.2599642667344887e-05,4171,-2.1530441556144844e-05,-0.001,373,3482,97,False,120,15:40,True,0.6105511141904952,9d631cca911d45e4,0.0,-4.413008422348948e-05,False,-0.5092869352370359,4155,True,1.0,0.790373044524669
nan,1.0,-4.242341995027112e-05,4107,-2.308675457095657e-06,-0.001,388,3487,5,False,240,15:40,True,0.9572370865975475,8829d0983a34077e,0.0,-4.4732095407366826e-05,False,-0.05362104819845034,4082,True,1.0,0.7959333659970602
0.05833333333333334,0.8333333333333334,6.0955299729655754e-06,5988,-1.0275175651195993e-05,-0.002,17,512,5121,False,5,15:40,False,0.6167148848252753,e1c75fc8e7cfd083,0.001,-4.1796456782304206e-06,False,-0.5005116077703876,5650,False,1.0,0.5058407079646018
0.03854166666666667,0.8333333333333334,-1.607337048213523e-05,4742,-2.7680086448946074e-05,-0.002,118,1020,3003,False,15,15:40,False,0.4169045430273299,4030083b37f7f21c,0.001,-4.3753456931081106e-05,False,-0.8118032393331762,4249,False,1.0,0.5321252059308073
0.09166666666666667,0.8333333333333334,-3.093827378168551e-05,3559,-4.937323282873863e-06,-0.002,193,1241,1417,False,30,15:40,False,0.9209190593471287,8ade7366d4429cfe,0.001,-3.5875597064559365e-05,False,-0.09927609338622048,3014,False,1.0,0.5859323158593231
0.08854166666666667,0.8333333333333334,-7.239224116610958e-05,2828,-1.0388636321344977e-05,-0.002,297,1331,500,False,60,15:40,False,0.8754415519640456,11b4b99b58bb7107,0.001,-8.278087748745464e-05,False,-0.1567504159750726,2300,False,1.0,0.6430434782608696
