session,signal_t_utc,signal_close,entry_t_utc,entry_price,exit_t_utc,exit_price,exit_reason,minutes_held,stop,target_at_exit,gross_return,net_return,ambiguous_exit
2021-07-06,2021-07-06T16:04:00Z,430.76,2021-07-06T16:05:00Z,430.78,2021-07-06T16:20:00Z,430.02,time,15,428.62609999999995,431.2839793785225,-0.0017642416082454871,-0.0017642416082454871,False
2021-07-06,2021-07-06T16:22:00Z,430.4719,2021-07-06T16:23:00Z,430.465,2021-07-06T16:38:00Z,430.34,time,15,428.31267499999996,431.1806589519811,-0.0002903836548848339,-0.0002903836548848339,False
2021-07-07,2021-07-07T14:44:00Z,431.66,2021-07-07T14:45:00Z,431.655,2021-07-07T14:58:00Z,432.7345597786815,target,13,429.49672499999997,432.7345597786815,0.0025009782782118312,0.0025009782782118312,False
2021-07-07,2021-07-07T15:06:00Z,432.54,2021-07-07T15:07:00Z,432.55,2021-07-07T15:08:00Z,432.6788873987478,target,1,430.38725,432.6788873987478,0.0002979710987118085,0.0002979710987118085,False
2021-07-13,2021-07-13T17:52:00Z,436.2099,2021-07-13T17:53:00Z,436.2,2021-07-13T17:55:00Z,436.4903293787372,target,2,434.019,436.4903293787372,0.000665587755014274,0.000665587755014274,False
2021-07-13,2021-07-13T18:30:00Z,436.28,2021-07-13T18:31:00Z,436.29,2021-07-13T18:31:00Z,436.3578546166752,target,0,434.10855000000004,436.3578546166752,0.00015552640829531508,0.00015552640829531508,False
2021-07-13,2021-07-13T19:27:00Z,435.79,2021-07-13T19:28:00Z,435.78,2021-07-13T19:41:00Z,436.15765299150337,target,13,433.6011,436.15765299150337,0.0008666138682440593,0.0008666138682440593,False
2021-07-14,2021-07-14T17:19:00Z,436.03,2021-07-14T17:20:00Z,436.037,2021-07-14T17:31:00Z,436.1261221306201,target,11,433.856815,436.1261221306201,0.00020439121134244566,0.00020439121134244566,False
2021-07-15,2021-07-15T18:48:00Z,433.655,2021-07-15T18:49:00Z,433.645,2021-07-15T18:50:00Z,433.90237822731854,target,1,431.476775,433.90237822731854,0.0005935228754362538,0.0005935228754362538,False
2021-07-16,2021-07-16T14:38:00Z,433.7043,2021-07-16T14:39:00Z,433.705,2021-07-16T14:54:00Z,434.0343801209859,target,15,431.536475,434.0343801209859,0.0007594565914294012,0.0007594565914294012,False
2021-07-16,2021-07-16T15:45:00Z,433.435,2021-07-16T15:46:00Z,433.43,2021-07-16T15:56:00Z,433.7516589266327,target,10,431.26285,433.7516589266327,0.000742124279889867,0.000742124279889867,False
2021-07-16,2021-07-16T18:33:00Z,432.36,2021-07-16T18:34:00Z,432.36,2021-07-16T18:49:00Z,432.0699,time,15,430.1982,433.37413369000274,-0.0006709686372467281,-0.0006709686372467281,False
2021-07-19,2021-07-19T18:01:00Z,422.44,2021-07-19T18:02:00Z,422.43,2021-07-19T18:17:00Z,422.99,time,15,420.31785,423.5334334190635,0.0013256634235257966,0.0013256634235257966,False
2021-07-19,2021-07-19T19:35:00Z,422.475,2021-07-19T19:36:00Z,422.465,2021-07-19T19:40:00Z,423.24048848501786,target,4,420.352675,423.24048848501786,0.0018356277680231221,0.0018356277680231221,False
2021-07-22,2021-07-22T16:04:00Z,434.14,2021-07-22T16:05:00Z,434.145,2021-07-22T16:05:00Z,434.2177702876771,target,0,431.974275,434.2177702876771,0.00016761747268111935,0.00016761747268111935,False
2021-07-22,2021-07-22T16:17:00Z,434.1419,2021-07-22T16:18:00Z,434.145,2021-07-22T16:28:00Z,434.13521890688173,target,10,431.974275,434.13521890688173,-2.2529553762566364e-05,-2.2529553762566364e-05,False
2021-07-27,2021-07-27T15:52:00Z,437.75,2021-07-27T15:53:00Z,437.74,2021-07-27T16:08:00Z,437.019,time,15,435.5513,437.88576406287797,-0.0016470964499474656,-0.0016470964499474656,False
2021-08-02,2021-08-02T16:31:00Z,438.8625,2021-08-02T16:32:00Z,438.865,2021-08-02T16:47:00Z,438.9,time,15,436.670675,439.38852676329714,7.975117632977834e-05,7.975117632977834e-05,False
2021-08-02,2021-08-02T16:50:00Z,438.795,2021-08-02T16:51:00Z,438.795,2021-08-02T17:06:00Z,438.915,time,15,436.601025,439.34067370766684,0.0002734762246607289,0.0002734762246607289,False
2021-08-02,2021-08-02T17:20:00Z,439.15,2021-08-02T17:21:00Z,439.14,2021-08-02T17:36:00Z,438.685,time,15,436.9443,439.25765511848164,-0.0010361160449970034,-0.0010361160449970034,False
2021-08-02,2021-08-02T19:17:00Z,438.51,2021-08-02T19:18:00Z,438.52,2021-08-02T19:33:00Z,437.8868,time,15,436.32739999999995,438.95293786096374,-0.0014439478245005656,-0.0014439478245005656,False
2021-08-04,2021-08-04T15:48:00Z,439.165,2021-08-04T15:49:00Z,439.16,2021-08-04T15:52:00Z,439.2300152878465,target,3,436.9642,439.2300152878465,0.000159430020599558,0.000159430020599558,False
