session,signal_t_utc,signal_close,entry_t_utc,entry_price,exit_t_utc,exit_price,exit_reason,minutes_held,stop,target_at_exit,gross_return,net_return,ambiguous_exit
2021-08-17,2021-08-17T16:49:00Z,441.43,2021-08-17T16:50:00Z,441.435,2021-08-17T17:05:00Z,441.105,time,15,439.227825,443.1191384658397,-0.00074756192870974,-0.00074756192870974,False
2021-08-18,2021-08-18T19:34:00Z,440.9101,2021-08-18T19:35:00Z,440.92,2021-08-18T19:45:00Z,440.98,flat_by,10,438.7154,442.58080143231786,0.00013607910732106113,0.00013607910732106113,False
2021-09-20,2021-09-20T16:06:00Z,432.26,2021-09-20T16:07:00Z,432.26,2021-09-20T16:22:00Z,431.94,time,15,430.0987,434.16321168322185,-0.0007402951927080766,-0.0007402951927080766,False
2021-09-20,2021-09-20T16:45:00Z,431.8999,2021-09-20T16:46:00Z,431.9,2021-09-20T17:01:00Z,431.71,time,15,429.7405,433.9180527740049,-0.00043991664737207163,-0.00043991664737207163,False
2021-09-20,2021-09-20T17:03:00Z,431.23,2021-09-20T17:04:00Z,431.24,2021-09-20T17:19:00Z,431.44,time,15,429.0838,433.7358515681924,0.0004637788702346457,0.0004637788702346457,False
2021-09-20,2021-09-20T17:25:00Z,431.655,2021-09-20T17:26:00Z,431.66,2021-09-20T17:41:00Z,432.15,time,15,429.5017,433.5873719169906,0.0011351526664503365,0.0011351526664503365,False
2021-09-20,2021-09-20T18:05:00Z,431.64,2021-09-20T18:06:00Z,431.64,2021-09-20T18:21:00Z,430.465,time,15,429.48179999999996,433.2955095700575,-0.0027221758873135285,-0.0027221758873135285,False
2021-09-20,2021-09-20T18:24:00Z,430.0,2021-09-20T18:25:00Z,430.01,2021-09-20T18:40:00Z,429.9799,time,15,427.85994999999997,433.0548630971079,-6.999837213089105e-05,-6.999837213089105e-05,False
2021-09-20,2021-09-20T18:56:00Z,429.4094,2021-09-20T18:57:00Z,429.43,2021-09-20T19:12:00Z,429.31,time,15,427.28285,432.6879653365093,-0.0002794401881564039,-0.0002794401881564039,False
2021-09-20,2021-09-20T19:14:00Z,429.28,2021-09-20T19:15:00Z,429.28,2021-09-20T19:30:00Z,430.76,time,15,427.13359999999994,432.47018439611446,0.0034476332463660507,0.0034476332463660507,False
2021-09-21,2021-09-21T14:50:00Z,433.45,2021-09-21T14:51:00Z,433.44,2021-09-21T15:06:00Z,434.58,time,15,431.2728,434.99662577649536,0.002630121816168296,0.002630121816168296,False
2021-09-28,2021-09-28T14:18:00Z,435.44,2021-09-28T14:19:00Z,435.42,2021-09-28T14:34:00Z,435.48,time,15,433.2429,436.72222006829924,0.00013779798814937824,0.00013779798814937824,False
2021-09-28,2021-09-28T15:09:00Z,434.55,2021-09-28T15:10:00Z,434.56,2021-09-28T15:25:00Z,434.915,time,15,432.3872,436.0474915049277,0.0008169182621502628,0.0008169182621502628,False
2021-09-28,2021-09-28T15:51:00Z,433.98,2021-09-28T15:52:00Z,433.97,2021-09-28T16:07:00Z,434.38,time,15,431.80015000000003,435.6736061149866,0.0009447657672188587,0.0009447657672188587,False
2021-09-28,2021-09-28T16:42:00Z,433.55,2021-09-28T16:43:00Z,433.5499,2021-09-28T16:58:00Z,433.33,time,15,431.38215049999997,435.3988847426545,-0.0005072080514837982,-0.0005072080514837982,False
2021-09-28,2021-09-28T17:00:00Z,433.15,2021-09-28T17:01:00Z,433.17,2021-09-28T17:16:00Z,433.68,time,15,431.00415000000004,435.2710976220799,0.0011773668536602048,0.0011773668536602048,False
2021-09-28,2021-09-28T18:10:00Z,433.2484,2021-09-28T18:11:00Z,433.275,2021-09-28T18:24:00Z,434.96027563104224,target,13,431.10862499999996,434.96027563104224,0.003889621212953111,0.003889621212953111,False
2021-09-30,2021-09-30T15:40:00Z,432.59,2021-09-30T15:41:00Z,432.61,2021-09-30T15:56:00Z,432.15,time,15,430.44695,434.15974415234507,-0.0010633133769446762,-0.0010633133769446762,False
2021-09-30,2021-09-30T16:01:00Z,432.0502,2021-09-30T16:02:00Z,432.05,2021-09-30T16:17:00Z,430.54,time,15,429.88975,433.5699489293569,-0.0034949658604327993,-0.0034949658604327993,False
2021-09-30,2021-09-30T16:30:00Z,430.295,2021-09-30T16:31:00Z,430.295,2021-09-30T16:46:00Z,430.95,time,15,428.143525,433.01424034205985,0.0015222115060597326,0.0015222115060597326,False
2021-09-30,2021-09-30T16:53:00Z,431.1001,2021-09-30T16:54:00Z,431.1117,2021-09-30T17:09:00Z,431.94,time,15,428.9561415,432.8184900580797,0.001921311808517405,0.001921311808517405,False
2021-09-30,2021-09-30T17:35:00Z,430.58,2021-09-30T17:36:00Z,430.59,2021-09-30T17:51:00Z,431.18,time,15,428.43705,432.56188462272604,0.0013702129636081466,0.0013702129636081466,False
2021-10-04,2021-10-04T14:30:00Z,429.585,2021-10-04T14:31:00Z,429.595,2021-10-04T14:46:00Z,428.84,time,15,427.44702500000005,430.64366688144577,-0.0017574692442883465,-0.0017574692442883465,False
2021-10-04,2021-10-04T14:51:00Z,428.1,2021-10-04T14:52:00Z,428.09,2021-10-04T15:07:00Z,427.94,time,15,425.94955,429.8390629274963,-0.000350393608820522,-0.000350393608820522,False
2021-10-04,2021-10-04T15:24:00Z,427.53,2021-10-04T15:25:00Z,427.54,2021-10-04T15:40:00Z,426.48,time,15,425.4023,429.2301567703121,-0.0024793001824390754,-0.0024793001824390754,False
2021-10-04,2021-10-04T15:47:00Z,427.14,2021-10-04T15:48:00Z,427.15,2021-10-04T16:03:00Z,428.11,time,15,425.01424999999995,428.92218754449306,0.002247454055952327,0.002247454055952327,False
2021-10-04,2021-10-04T16:40:00Z,426.91,2021-10-04T16:41:00Z,426.9,2021-10-04T16:56:00Z,427.4745,time,15,424.7655,428.6491728024423,0.0013457484188334516,0.0013457484188334516,False
2021-10-04,2021-10-04T17:03:00Z,426.61,2021-10-04T17:04:00Z,426.62,2021-10-04T17:19:00Z,427.64,time,15,424.4869,428.5268038612206,0.002390886503211246,0.002390886503211246,False
2021-10-11,2021-10-11T17:30:00Z,436.28,2021-10-11T17:31:00Z,436.29,2021-10-11T17:46:00Z,436.425,time,15,434.10855000000004,438.06954895750147,0.0003094272158426526,0.0003094272158426526,False
2021-10-11,2021-10-11T17:48:00Z,436.09,2021-10-11T17:49:00Z,436.08,2021-10-11T18:04:00Z,436.581,time,15,433.89959999999996,437.9334485129669,0.0011488717666483976,0.0011488717666483976,False
2021-11-05,2021-11-05T17:28:00Z,467.239,2021-11-05T17:29:00Z,467.22,2021-11-05T17:44:00Z,467.51,time,15,464.88390000000004,469.02512412214736,0.0006206926073369368,0.0006206926073369368,False
2021-11-10,2021-11-10T19:24:00Z,463.17,2021-11-10T19:25:00Z,463.17,2021-11-10T19:40:00Z,462.51,time,15,460.85415,464.92583087862846,-0.0014249627566552778,-0.0014249627566552778,False
2021-11-10,2021-11-10T19:43:00Z,462.125,2021-11-10T19:44:00Z,462.14,2021-11-10T19:59:00Z,462.751,time,15,459.8293,464.64018050990074,0.0013221101830613884,0.0013221101830613884,False
2021-11-22,2021-11-22T16:56:00Z,469.7,2021-11-22T16:57:00Z,469.705,2021-11-22T17:12:00Z,470.31,time,15,467.356475,471.52733291318975,0.0012880424947573864,0.0012880424947573864,False
2021-11-23,2021-11-23T16:01:00Z,464.67,2021-11-23T16:02:00Z,464.68,2021-11-23T16:16:00Z,466.37636249851107,target,14,462.3566,466.37636249851107,0.0036506036380112425,0.0036506036380112425,False
2021-11-26,2021-11-26T16:18:00Z,458.425,2021-11-26T16:19:00Z,458.45,2021-11-26T16:34:00Z,458.78,time,15,456.15774999999996,460.23371650041247,0.0007198167739120604,0.0007198167739120604,False
2021-11-26,2021-11-26T17:54:00Z,457.84,2021-11-26T17:55:00Z,457.85,2021-11-26T17:57:00Z,459.7639367740232,target,2,455.56075000000004,459.7639367740232,0.004180270337497369,0.004180270337497369,False
2021-11-30,2021-11-30T15:53:00Z,459.38,2021-11-30T15:54:00Z,459.38,2021-11-30T16:09:00Z,458.35,time,15,457.0831,460.6803804254394,-0.0022421524663676536,-0.0022421524663676536,False
2021-11-30,2021-11-30T16:38:00Z,458.27,2021-11-30T16:39:00Z,458.27,2021-11-30T16:54:00Z,456.35,time,15,455.97864999999996,459.8679514341198,-0.004189669845287623,-0.004189669845287623,False
2021-11-30,2021-11-30T17:07:00Z,456.08,2021-11-30T17:08:00Z,456.07,2021-11-30T17:23:00Z,456.95,time,15,453.78965,459.3794139633559,0.0019295283618742636,0.0019295283618742636,False
2021-11-30,2021-11-30T17:57:00Z,457.18,2021-11-30T17:58:00Z,457.18,2021-11-30T18:13:00Z,456.68,time,15,454.8941,459.04428337432734,-0.0010936611400323723,-0.0010936611400323723,False
